Hub_ID,Chokepoint_Bridge_Score,Incoming_Lanes_Count,Outgoing_Lanes_Count
IND000000AAL,0.0,1,1
IND411033AAA,0.05215676401477006,23,20
IND000000AAQ,0.0,0,1
IND700028AAB,0.00040354948406964695,2,1
IND000000AAS,0.0032247471430447918,1,1
IND783370AAC,0.0032225579053373615,1,1
IND000000AAZ,0.0016149276821810646,2,2
IND444203AAA,0.0016105492067662042,2,1
IND444303AAA,0.0,1,1
IND000000ABA,0.0004053738488258389,1,1
IND683565AAA,0.0004031846111184086,1,1
IND000000ABD,0.0004031846111184086,1,1
IND562132AAA,0.13575608972955616,36,35
IND000000ABG,0.0,0,1
IND501359AAF,0.0,3,0
IND000000ACA,0.011623392734649796,13,9
IND140406AAA,0.0,1,1
IND142001AAB,0.0,2,2
IND142401AAA,0.0008052746033831021,2,1
IND143001AAA,0.0,3,1
IND144001AAB,0.003630485864821869,5,5
IND144514AAA,0.00040500897587460047,1,2
IND147301AAA,0.00040500897587460047,2,2
IND152026AAA,0.004080739086650028,6,7
IND160002AAC,0.053058365077280095,32,29
IND000000ACB,0.2379562736255236,45,49
IND000000AEL,0.0,1,1
IND110024AAA,0.00040610359472831564,3,1
IND110030AAD,0.0,2,1
IND110037AAK,0.0,1,1
IND110043AAA,0.0012117430710626561,3,2
IND110043AAC,0.0,1,1
IND110052AAA,0.0,1,1
IND110064AAA,0.0008114774435541545,2,3
IND110085AAB,0.002426405125735219,4,5
IND110092AAC,0.0008085584599442474,3,2
IND110095AAB,0.0,1,1
IND121002AAB,0.0,1,1
IND121004AAB,0.00483894507932338,9,7
IND122001AAA,0.0020221258957630953,2,5
IND122015AAC,0.0,1,0
IND124103AAA,0.0,1,1
IND124112AAA,0.0,1,3
IND125001AAA,0.006130595326707241,7,8
IND125005AAA,0.008288818833282252,4,5
IND125033AAA,0.0,2,2
IND127021AAA,0.0012128376899163712,2,1
IND131028AAB,0.04916663017937154,20,20
IND201001AAC,0.0008133018083103464,2,2
IND201007AAA,0.003996453434913963,8,5
IND201301AAF,0.001635360567450414,8,3
IND201301AAM,0.0,1,1
IND209304AAA,0.042517550388954564,16,13
IND282002AAD,0.005467986047258345,6,5
IND301001AAB,0.0032273012537034607,5,3
IND301705AAA,0.0012142971817213247,2,1
IND302014AAA,0.04246354919217129,10,8
IND302022AAD,0.0,1,1
IND328001AAA,0.0008070989681392939,3,3
IND382430AAB,0.02979370083336982,17,13
IND390022AAA,0.005170979464950305,5,4
IND421302AAG,0.04776661266546989,29,29
IND462022AAA,0.028316695126756865,13,9
IND474003AAA,0.008170235124129779,8,6
IND501359AAE,0.08253426157012128,30,27
IND521225AAB,0.01155953996818308,8,8
IND600056AAB,0.046715048820000875,18,18
IND712311AAA,0.07959119634543252,24,22
IND751002AAB,0.015982894756045946,13,6
IND821115AAB,0.008356320329261351,6,5
IND834002AAB,0.007997650218194026,5,7
IND842001AAA,0.0246986149422771,12,15
IND000000ACK,0.0,0,1
IND000000ACN,3.648729512383788e-07,1,1
IND000000ACT,0.0,0,3
IND000000ADM,0.0,1,1
IND683511AAA,0.022768801903177316,13,7
IND000000ADV,0.0,0,1
IND600044AAC,0.0,3,0
IND000000AEM,0.0,0,2
IND110037AAB,0.0,1,0
IND110064AAB,0.0,1,0
IND000000AET,0.003226936380752222,1,1
IND000000AFF,3.648729512383788e-07,1,1
IND734203AAA,0.0,1,0
IND000000AFG,0.0,0,2
IND673027AAB,0.0,1,2
IND673632AAA,0.0024380810601748472,2,4
IND000000AFJ,7.297459024767576e-07,1,2
IND695121AAA,0.00040865770538698427,1,2
IND695572AAB,1.0946188537151365e-06,3,2
IND000000AFR,0.0,0,1
IND000000AFT,0.0048455127924456705,5,8
IND400072AAB,0.006076594129923961,11,11
IND400701AAA,0.0008111125706029161,1,2
IND400706AAA,0.0,1,1
IND410206AAA,0.00040245486521593184,2,1
IND410206AAB,0.0,1,1
IND410209AAA,0.0,1,0
IND410210AAA,0.0,1,0
IND110014AAA,0.0,1,1
IND110020AAB,0.0,1,1
IND110037AAM,0.04876198607644818,21,24
IND110035AAC,0.0,1,1
IND201301AAD,0.0,1,1
IND202001AAB,0.0024212969044178816,4,4
IND226004AAC,0.0,1,0
IND250002AAC,0.0,2,0
IND282001AAA,0.0,2,2
IND282001AAC,0.0,1,1
IND781018AAB,0.04397448808324941,17,15
IND811399AAA,3.977115168498329e-05,1,2
IND110039AAA,0.0,1,1
IND110078AAA,0.0,1,1
IND110044AAB,0.0023972152896361487,2,6
IND110005AAA,0.0,1,0
IND110046AAA,0.0,1,0
IND110077AAA,0.0,0,1
IND110083AAA,0.0,1,1
IND110085AAA,0.0,1,0
IND110087AAA,0.0,1,0
IND110093AAA,0.0,1,1
IND121001AAA,0.0,1,1
IND121002AAA,0.0,1,1
IND121004AAA,0.0,1,1
IND121004AAC,0.0,1,1
IND121102AAA,0.0,1,1
IND122001AAD,0.00040610359472831564,1,1
IND122050AAA,0.0,2,0
IND122101AAC,0.0,1,0
IND122001AAJ,0.0012128376899163712,1,1
IND507123AAA,0.0012106484522089408,1,1
IND122002AAD,0.0,0,1
IND122503AAA,0.00040391435702088536,1,1
IND122004AAA,0.0,0,2
IND122413AAE,0.0,1,0
IND123001AAA,0.0016156574280835414,2,1
IND123401AAB,0.001613468190376111,1,2
IND123106AAB,0.0,1,0
IND124001AAB,0.0012150269276238015,1,1
IND126102AAA,0.0012128376899163712,1,2
IND124141AAA,0.0012084592145015106,1,1
IND124507AAA,0.0008085584599442474,2,2
IND131028AAE,0.0,1,1
IND125047AAB,0.0004152254185092751,2,2
IND125051AAA,0.0016149276821810646,3,1
IND335501AAA,0.0004053738488258389,1,1
IND335513AAA,0.004838580206372141,3,3
IND335523AAB,0.0004031846111184086,3,1
IND335524AAA,0.0,2,1
IND125050AAA,0.0,1,1
IND125111AAA,0.0016127384444736344,1,1
IND125104AAA,0.0028091568515842785,1,1
IND125121AAA,0.0016105492067662042,1,1
IND126116AAA,0.0,1,1
IND131301AAA,0.0012084592145015106,2,1
IND126112AAA,0.0,0,1
IND127201AAA,0.0012106484522089408,1,1
IND131021AAA,0.0,0,1
IND131028AAA,0.0,1,0
IND132103AAA,0.0008100179517492009,2,2
IND136118AAA,0.0012183107841849468,1,1
IND201204AAA,0.0,1,1
IND244001AAA,0.003618809930382241,1,1
IND244235AAA,0.0071847132828349175,1,1
IND247667AAA,0.0,1,1
IND247667AAB,0.0,1,1
IND248001AAA,0.0016123735715223959,3,1
IND248001AAD,0.0,2,1
IND249407AAA,0.004033305602989039,5,3
IND250002AAA,0.0012102835792577025,3,1
IND250609AAA,0.0,1,0
IND250611AAA,0.0008103828247004393,1,1
IND251001AAA,0.0004053738488258389,1,1
IND132001AAA,0.0012113781981114176,2,3
IND132103AAB,0.0,1,2
IND133004AAA,0.0,0,1
IND135001AAA,0.0008085584599442474,2,1
IND134102AAA,0.0,2,1
IND174103AAA,0.0008056394763343404,4,1
IND134109AAA,0.0,0,1
IND134203AAA,0.0004053738488258389,1,2
IND140501AAA,0.0,1,1
IND173025AAA,0.0008063692222368172,1,1
IND136027AAA,0.0004068333406307924,1,1
IND132039AAA,0.0,1,0
IND136128AAA,0.000812936935359108,1,1
IND140001AAA,0.0004053738488258389,1,1
IND140118AAA,0.0004031846111184086,1,1
IND140301AAA,0.0008103828247004393,1,2
IND140901AAA,0.00040245486521593184,2,2
IND140401AAA,0.00040354948406964695,2,3
IND160055AAA,0.0,2,1
IND141003AAB,0.0,0,3
IND141109AAA,0.0,2,1
IND142026AAA,0.0,1,2
IND141010AAA,0.0,0,1
IND141115AAA,0.00040354948406964695,2,1
IND151001AAA,0.007617452603003634,6,4
IND144001AAA,0.0,1,1
IND144040AAA,0.0008060043492855788,2,1
IND144401AAB,0.0,1,1
IND144601AAA,0.0008103828247004393,1,2
IND144001AAC,0.0,0,2
IND144527AAA,0.0,0,1
IND145001AAA,1.0946188537151365e-06,1,2
IND176201AAA,0.0,1,1
IND176303AAA,1.0946188537151365e-06,2,1
IND147001AAB,0.0008070989681392939,2,2
IND147201AAA,1.0946188537151365e-06,2,1
IND147001AAD,0.0012161215464775166,2,3
IND148023AAA,0.000812936935359108,2,2
IND147101AAA,0.0,2,2
IND147105AAA,0.0,2,2
IND148001AAA,0.0,1,0
IND148024AAB,0.0,1,0
IND148028AAA,0.0,0,2
IND148101AAA,0.0004053738488258389,1,1
IND148102AAA,0.0004031846111184086,1,1
IND151103AAA,0.0,1,1
IND151302AAA,0.0008103828247004393,1,1
IND151505AAA,0.000808193586993009,1,1
IND151506AAA,0.0008060043492855788,1,1
IND152024AAA,0.0004053738488258389,1,1
IND152123AAA,0.0004031846111184086,1,1
IND152101AAA,0.0,1,1
IND152107AAA,0.0,2,1
IND152116AAA,0.0,1,2
IND140603AAA,0.0,1,0
IND160003AAA,0.0,1,1
IND160102AAC,0.0,1,1
IND173212AAA,0.0008103828247004393,2,4
IND174001AAA,0.002422391523271597,2,1
IND174307AAA,0.0,1,1
IND176041AAA,0.0,2,0
IND181152AAA,0.0,3,1
IND184104AAA,0.0012128376899163712,2,4
IND160102AAD,0.0,0,2
IND160002AAD,0.0,1,0
IND173220AAA,0.0,1,2
IND175018AAA,0.0024202022855641667,1,1
IND174021AAA,0.0,0,1
IND176048AAA,0.0004042792299721237,1,1
IND174101AAB,0.0,0,2
IND175001AAA,0.0024180130478567365,1,1
IND175101AAA,0.0024158238101493062,1,1
IND175015AAA,0.0008078287140417707,1,1
IND176061AAA,0.00040391435702088536,1,1
IND176110AAB,0.0004042792299721237,1,1
IND177033AAA,0.0008078287140417707,1,1
IND176215AAA,0.0,0,1
IND176310AAA,1.0946188537151365e-06,1,1
IND177001AAA,0.0,0,1
IND177101AAA,7.297459024767576e-07,1,2
IND176001AAA,0.0,1,0
IND176001AAB,0.0,1,0
IND177203AAA,0.0,0,1
IND184121AAA,0.0004031846111184086,3,4
IND181152AAB,0.0008085584599442474,3,3
IND181201AAB,0.0,1,1
IND201001AAA,0.0,1,1
IND201005AAA,0.0,1,1
IND201007AAB,0.0023720390560007004,1,3
IND245101AAA,0.0,2,2
IND245304AAA,0.0,2,2
IND201301AAL,0.0004101171971919378,2,2
IND201304AAA,1.4594918049535152e-06,2,1
IND203205AAA,0.0,1,0
IND201307AAA,0.0,1,1
IND201306AAA,0.0,0,2
IND205001AAB,0.006442196827064817,3,5
IND207123AAA,0.0,1,1
IND202001AAC,0.0,0,1
IND204215AAA,0.0004046441029233621,1,1
IND203001AAA,0.0,0,1
IND203131AAA,2.9189836099070305e-06,1,1
IND203135AAA,5.1082213173373036e-06,1,2
IND203390AAA,7.297459024767576e-06,2,1
IND203396AAB,0.0,1,1
IND204101AAA,0.0,1,2
IND207001AAA,0.0008085584599442474,1,1
IND205135AAA,0.0,1,1
IND209625AAA,0.002424580760979027,2,1
IND209721AAB,0.0,1,1
IND283203AAA,0.0004031846111184086,2,2
IND206001AAA,0.0004031846111184086,1,1
IND206122AAA,0.0004053738488258389,1,1
IND207302AAA,0.0012117430710626561,1,1
IND207247AAB,0.002413634572441876,2,1
IND208006AAA,0.0,1,1
IND208012AAA,0.0,1,1
IND208017AAA,0.0,0,1
IND208019AAA,0.0,1,1
IND209101AAA,0.001619306157595925,1,1
IND209111AAA,0.0016171169198884948,1,1
IND285001AAD,0.0016149276821810646,1,1
IND209206AAB,0.00040610359472831564,1,1
IND210301AAA,0.0,1,0
IND209801AAA,0.0,1,1
IND211002AAB,0.008828830801115052,6,4
IND212601AAA,0.0008103828247004393,1,1
IND221313AAA,0.008926251879095699,1,6
IND241124AAB,0.002422391523271597,1,1
IND210001AAA,0.000808193586993009,1,1
IND210427AAA,0.0008060043492855788,1,1
IND210431AAA,0.0016105492067662042,1,1
IND210501AAB,0.0,0,1
IND211011AAA,0.0008103828247004393,1,1
IND211013AAA,0.0,1,0
IND485001AAC,0.0028336033393172497,2,5
IND211008AAA,0.0,0,1
IND211010AAB,0.0,0,1
IND212501AAA,0.000808193586993009,1,1
IND212402AAA,0.0008060043492855788,1,1
IND221010AAA,0.00040610359472831564,1,1
IND221005A1A,0.0,1,0
IND221010AAB,0.0024614329290541036,2,3
IND222001AAA,4.7433483660989244e-06,2,1
IND232101AAB,0.004068698279259162,2,1
IND233001AAA,0.0020396397974225375,1,2
IND221303AAA,0.000406468467679554,1,1
IND231001AAA,0.0,1,0
IND221401AAA,0.0008122071894566313,1,1
IND222136AAA,0.0,2,0
IND276128AAA,0.0016244143789132626,1,1
IND221706AAA,0.0012237838784535226,1,1
IND273014AAB,0.006116365281608944,6,6
IND222125AAB,0.00040829283243574586,1,1
IND223101AAB,0.0008143964271640615,1,1
IND224001AAA,0.0,0,1
IND224141AAB,3.648729512383788e-07,1,1
IND224122AAA,0.0,1,0
IND226004AAA,0.0,0,2
IND226016AAA,0.0,1,0
IND226024AAA,0.0,1,0
IND231205AAA,0.0,1,1
IND231216AAA,0.0,2,0
IND231208AAA,0.0,0,1
IND231217AAA,1.824364756191894e-06,1,1
IND231225AAB,2.9189836099070305e-06,1,1
IND486886AAA,3.283856561145409e-06,1,1
IND232104AAB,0.0036640541763358,1,3
IND232327AAA,0.0,1,0
IND233221AAC,0.0,1,0
IND275101AAA,0.0,1,1
IND275503AAA,0.0012303515915758133,2,1
IND242001AAA,0.0024202022855641667,1,1
IND242307AAB,0.0024180130478567365,1,2
IND242221AAA,0.0,1,1
IND243001AAA,0.0,0,2
